0
(':
:')
:-)
:)
=)
(:
X)
x)
(x
:-D
:D
=D
;-)
;)
(;
:-P
:-p
:P
:p
xp
=P
=p
X-D
XD
x-D
xD
<3
8D
8-)
8)
