0
:-(
:(
=(
):
:-|
:|
=|
|=
:-O
:-o
:O
:o
=O
=o
=-O
o:
8-O
8O
:-$
:$
=$
$:
:-/
:/
=/
/:
:-S
:S
:-s
:s
:$
=S
=s
=$
s:
:'-(
:'(
='(
